Name,Data.Carbohydrate,Data.Protein,Data.Fat.Total Lipid
"Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)",7.91,3.63,1.1
"Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)",7.63,3.67,0.27
"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",7.81,1.82,1.34
"Chocolate milk, made from syrup, NS as to type of milk",13.18,2.89,1.73
"Chocolate milk, made from syrup with whole milk",13.0,2.84,2.77
"Chocolate milk, made from syrup with reduced fat milk",13.21,2.9,1.65
"Chocolate milk, made from syrup with low fat milk",13.45,2.93,0.82
"Chocolate milk, made from syrup with fat free milk",13.19,2.97,0.07
"Chocolate milk, made from syrup with non-dairy milk",13.36,1.29,1.04
"Chocolate milk, made from light syrup, NS as to type of milk",8.6,3.1,1.86
"Chocolate milk, made from light syrup with whole milk",8.42,3.04,2.92
"Chocolate milk, made from light syrup with reduced fat milk",8.63,3.1,1.78
"Chocolate milk, made from light syrup with low fat milk",8.87,3.13,0.95
"Chocolate milk, made from light syrup with fat free milk",8.61,3.18,0.19
"Chocolate milk, made from light syrup with non-dairy milk",8.78,1.48,1.17
"Chocolate milk, made from sugar free syrup, NS as to type of milk",6.04,3.28,2.0
"Chocolate milk, made from sugar free syrup with whole milk",5.87,3.23,3.05
"Chocolate milk, made from sugar free syrup with reduced fat milk",6.08,3.29,1.92
"Chocolate milk, made from sugar free syrup with low fat milk",6.32,3.32,1.08
"Chocolate milk, made from sugar free syrup with fat free milk",6.06,3.36,0.32
"Chocolate milk, made from sugar free syrup with non-dairy milk",6.22,1.66,1.31
"Hot chocolate / Cocoa, made with dry mix and water",11.4,0.91,0.55
"Hot chocolate / Cocoa, made with dry mix and whole milk",15.16,3.73,3.31
"Hot chocolate / Cocoa, made with dry mix and reduced fat milk",15.37,3.79,2.18
"Hot chocolate / Cocoa, made with dry mix and low fat milk",15.61,3.82,1.36
"Hot chocolate / Cocoa, made with dry mix and fat free milk",15.35,3.86,0.6
"Hot chocolate / Cocoa, made with dry mix and non-dairy milk",15.47,2.18,1.57
"Hot chocolate / Cocoa, made with no sugar added dry mix and water",5.94,1.28,0.25
"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk",10.08,4.26,3.18
"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk",10.3,4.33,1.99
"Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk",10.56,4.35,1.12
"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk",10.28,4.4,0.32
"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk",10.43,2.61,1.35
"Strawberry milk, NFS",5.35,3.33,1.9
"Strawberry milk, whole",11.82,3.04,2.97
"Strawberry milk, reduced fat",10.71,3.15,1.8
"Strawberry milk, low fat",12.3,3.13,0.89
"Strawberry milk, fat free",12.03,3.18,0.09
"Strawberry milk, reduced sugar",7.08,3.31,0.94
"Strawberry milk, non-dairy",12.2,1.39,1.13
"Milk, malted",8.67,3.2,1.91
Eggnog,8.05,4.55,4.19
"Milk shake, home recipe, chocolate",13.55,3.48,6.14
"Milk shake, home recipe, flavors other than chocolate",11.41,3.36,5.98
"Milk shake, home recipe, chocolate, light",12.93,3.99,3.31
"Milk shake, home recipe, flavors other than chocolate, light",13.84,3.88,2.33
Milk shake with malt,13.66,3.77,6.11
"Milk shake, fast food, chocolate",20.36,3.7,6.66
"Milk shake, fast food, flavors other than chocolate",19.59,3.37,6.52
"Milk shake, bottled, chocolate",20.36,3.7,6.66
"Milk shake, bottled, flavors other than chocolate",19.59,3.37,6.52
Licuado or Batido,13.1,2.4,1.38
"Fruit smoothie, NFS",11.65,2.4,1.07
"Fruit smoothie, with whole fruit and dairy",11.66,2.4,1.07
"Fruit smoothie, with whole fruit and dairy, added protein",9.71,7.38,1.21
"Fruit smoothie juice drink, with dairy",15.05,0.86,0.14
Chocolate milk drink,10.68,0.64,0.4
"Infant formula, NFS",7.12,1.38,3.56
"Infant formula, NS as to form (Similac Expert Care Alimentum)",6.77,1.8,3.63
"Infant formula, ready-to-feed (Similac Expert Care Alimentum)",6.77,1.8,3.63
"Infant formula, powder, made with water, NFS (Similac Expert Care Alimentum)",6.77,1.8,3.63
"Infant formula, powder, made with tap water (Similac Expert Care Alimentum)",6.77,1.8,3.63
"Infant formula, powder, made with plain bottled water (Similac Expert Care Alimentum)",6.77,1.8,3.63
"Infant formula, powder, made with baby water (Similac Expert Care Alimentum)",6.77,1.8,3.63
"Infant formula, NS as to form (Similac Advance)",6.87,1.37,3.62
"Infant formula, ready-to-feed (Similac Advance)",6.87,1.37,3.62
"Infant formula, liquid concentrate, made with water, NFS (Similac Advance)",6.87,1.37,3.62
"Infant formula, powder, made with water, NFS (Similac Advance)",6.87,1.37,3.62
"Infant formula, liquid concentrate, made with tap water (Similac Advance)",6.87,1.37,3.62
"Infant formula, liquid concentrate, made with plain bottled water (Similac Advance)",6.87,1.37,3.62
"Infant formula, liquid concentrate, made with baby water (Similac Advance)",6.87,1.37,3.62
"Infant formula, powder, made with tap water (Similac Advance)",6.87,1.37,3.62
"Infant formula, powder, made with plain bottled water (Similac Advance)",6.87,1.37,3.62
"Infant formula, powder, made with baby water (Similac Advance)",6.87,1.37,3.62
"Infant formula, NS as to form (Similac Advance Organic)",6.87,1.37,3.62
"Infant formula, ready-to-feed (Similac Advance Organic)",6.87,1.37,3.62
"Infant formula, powder, made with water, NFS (Similac Advance Organic)",6.87,1.37,3.62
"Infant formula, powder, made with tap water (Similac Advance Organic)",6.87,1.37,3.62
"Infant formula, powder, made with plain bottled water (Similac Advance Organic)",6.87,1.37,3.62
"Infant formula, powder, made with baby water (Similac Advance Organic)",6.87,1.37,3.62
"Infant formula, NS as to form (Similac Sensitive)",6.99,1.4,3.53
"Infant formula, ready-to-feed (Similac Sensitive)",6.99,1.4,3.53
"Infant formula, liquid concentrate, made with water, NFS (Similac Sensitive)",6.99,1.4,3.53
"Infant formula, powder, made with water, NFS (Similac Sensitive)",6.99,1.4,3.53
"Infant formula, liquid concentrate, made with tap water (Similac Sensitive)",6.99,1.4,3.53
"Infant formula, liquid concentrate, made with plain bottled water (Similac Sensitive)",6.99,1.4,3.53
"Infant formula, liquid concentrate, made with baby water (Similac Sensitive)",6.99,1.4,3.53
"Infant formula, powder, made with tap water (Similac Sensitive)",6.99,1.4,3.53
"Infant formula, powder, made with plain bottled water (Similac Sensitive)",6.99,1.4,3.53
"Infant formula, powder, made with baby water (Similac Sensitive)",6.99,1.4,3.53
"Infant formula, NS as to form (Similac for Spit-Up)",6.9,1.38,3.48
"Infant formula, ready-to-feed (Similac for Spit-Up)",6.9,1.38,3.48
"Infant formula, powder, made with water, NFS (Similac for Spit-Up)",6.9,1.38,3.48
