Name,Data.Carbohydrate,Data.Protein,Data.Fat.Total Lipid
"Roll, NS as to major flour",50.12,9.77,3.91
"Roll, hard, NS as to major flour",52.7,9.9,4.3
"Roll, bran, NS as to type of bran",44.6,9.6,6.0
"Bread, white",49.2,9.43,3.59
"Bread, white, toasted",54.07,10.36,3.94
"Bread, white, made from home recipe or purchased at a bakery",50.09,8.63,3.41
"Bread, white, made from home recipe or purchased at a bakery, toasted",55.05,9.49,3.75
"Bread, white with whole wheat swirl",46.15,10.86,3.57
"Bread, white with whole wheat swirl, toasted",53.39,12.45,4.12
"Bread, Cuban",51.88,10.75,2.42
"Bread, Cuban, toasted",57.01,11.81,2.66
"Bread, native, water, Puerto Rican style",51.97,8.78,3.26
"Bread, native, water, toasted, Puerto Rican style",57.11,9.65,3.58
"Bread, lard, Puerto Rican style",55.48,6.97,2.95
"Bread, lard, toasted, Puerto Rican style",61.64,7.74,3.28
"Bread, caressed, Puerto Rican style",49.33,7.76,4.58
"Bread, caressed, toasted, Puerto Rican style",54.21,8.53,5.03
"Bread, French or Vienna",51.88,10.75,2.42
"Bread, French or Vienna, toasted",57.01,11.81,2.66
"Focaccia, Italian flatbread, plain",35.82,8.77,7.89
"Naan, Indian flatbread",50.23,11.09,7.28
"Bread, Italian, Grecian, Armenian",48.11,9.49,2.73
"Bread, Italian, Grecian, Armenian, toasted",52.87,10.43,3.0
"Bread, pita",55.7,9.1,1.2
"Bread, pita, toasted",61.21,10.0,1.32
"Bread, pita with fruit",59.51,8.16,1.05
"Bread, pita with fruit, toasted",65.4,8.97,1.15
"Bread, cheese",44.83,10.42,20.83
"Bread, cheese, toasted",49.26,11.45,22.89
"Bread, cinnamon",44.38,7.05,5.29
"Bread, cinnamon, toasted",54.07,10.36,3.94
"Bread, cornmeal and molasses",55.11,6.74,3.79
"Bread, cornmeal and molasses, toasted",60.56,7.4,4.17
"Bread, egg, Challah",47.8,9.5,6.0
"Bread, egg, Challah, toasted",52.53,10.44,6.59
"Garlic bread, NFS",41.64,8.34,16.58
"Garlic bread, from fast food / restaurant",41.64,8.34,16.58
"Garlic bread, from frozen",41.72,8.36,16.61
"Garlic bread, with parmesan cheese, from fast food / restaurant",41.06,8.76,16.8
"Garlic bread, with parmesan cheese, from frozen",41.14,8.78,16.83
"Garlic bread, with melted cheese, from fast food / restaurant",34.21,11.41,17.34
"Garlic bread, with melted cheese, from frozen",36.86,10.36,17.1
"Bread, onion",44.17,7.53,2.92
"Bread, onion, toasted",48.54,8.28,3.21
"Bread, reduced calorie and/or high fiber, white or NFS",44.3,8.7,2.5
"Bread, reduced calorie and/or high fiber, white or NFS, toasted",48.68,9.56,2.75
"Bread, reduced calorie and/or high fiber, white or NFS, with fruit and/or nuts",49.95,7.83,2.14
"Bread, reduced calorie and/or high fiber, white or NFS, with fruit and/or nuts, toasted",54.89,8.6,2.35
"Bread, white, special formula, added fiber",43.91,10.66,2.15
"Bread, white, special formula, added fiber, toasted",48.25,11.71,2.36
"Bread, high protein",43.8,12.1,2.2
"Bread, high protein, toasted",48.13,13.3,2.42
"Bread, potato",47.07,12.5,3.13
"Bread, potato, toasted",51.72,13.74,3.44
"Bread, raisin",52.21,8.82,3.26
"Bread, raisin, toasted",57.38,9.69,3.58
"Bread, white, low sodium or no salt",49.6,8.2,3.6
"Bread, white, low sodium or no salt, toasted",54.5,9.01,3.96
"Bread, sour dough",51.88,10.75,2.42
"Bread, sour dough, toasted",57.01,11.81,2.66
"Bread, sweet potato",45.24,7.41,2.84
"Bread, sweet potato, toasted",49.72,8.14,3.12
"Bread, vegetable",47.79,8.27,3.23
"Bread, vegetable, toasted",52.52,9.09,3.55
Bruschetta,21.35,4.29,7.61
"Bread, dough, fried",44.83,8.04,18.79
"Roll, white, soft",50.12,9.77,3.91
"Roll, white, hard",52.7,9.9,4.3
"Roll, white, hot dog bun",50.12,9.77,3.91
"Roll, white, hamburger bun",50.12,9.77,3.91
"Roll, diet",51.88,10.75,2.42
"Roll, egg bread",47.8,9.5,6.0
"Roll, cheese",49.56,11.48,7.85
"Roll, French or Vienna",50.2,8.6,4.3
"Roll, garlic",51.95,10.84,6.44
"Roll, white, hoagie, submarine",50.12,9.77,3.91
"Roll, Mexican, bolillo",55.77,10.65,5.8
"Roll, sour dough",51.88,10.75,2.42
"Roll, sweet, no frosting",53.58,10.04,7.37
"Roll, sweet, cinnamon bun, no frosting",50.9,6.2,16.4
"Roll, sweet, cinnamon bun, frosted",48.6,4.45,26.61
"Pan Dulce, with fruit, no frosting",50.9,6.2,16.4
"Roll, sweet, with fruit, frosted",53.56,5.23,16.37
"Roll, sweet, with fruit, frosted, diet",48.6,4.45,26.61
"Roll, sweet, frosted",50.92,5.49,20.06
"Pan Dulce, no topping",56.38,9.42,11.58
"Pan Dulce, with sugar topping",56.35,8.73,12.82
"Pan Dulce, with raisins and icing",58.57,8.29,11.39
"Coffee cake, yeast type",50.9,6.2,16.4
Croissant,45.8,8.2,21.0
"Croissant, cheese",47.0,9.2,20.9
"Croissant, chocolate",49.4,7.4,22.79
"Croissant, fruit",47.04,7.75,19.72
Brioche,35.84,8.76,26.82
"Bread, Spanish coffee",58.23,7.6,8.72
Bagel,52.38,10.56,1.32
"Bagel, with raisins",55.07,9.83,1.21
"Bagel, with fruit other than raisins",48.36,9.55,1.25
Bread stuffing,21.71,3.14,8.51
Bread stuffing made with egg,17.75,3.32,11.9
"Breadsticks, NFS",44.39,12.18,12.85
"Breadsticks, hard, NFS",68.4,12.0,9.5
"Breadsticks, hard, reduced sodium",71.64,10.64,10.63
"Breadsticks, soft, NFS",44.39,12.18,12.85
"Breadsticks, soft, from fast food / restaurant",44.39,12.18,12.85
"Breadsticks, soft, from frozen",46.37,11.09,9.16
"Breadsticks, soft, with parmesan cheese, from fast food / restaurant",43.76,12.52,13.15
"Breadsticks, soft, with parmesan cheese, from frozen",46.37,11.09,9.16
"Breadsticks, soft, topped with melted cheese",36.41,14.48,14.36
"Breadsticks, soft, stuffed with melted cheese",36.41,14.48,14.36
Croutons,63.5,10.8,18.3
"Muffin, English",44.17,8.87,1.69
"Muffin, English, with raisins",47.68,8.31,1.55
"Muffin, English, cheese",42.08,9.59,3.31
"Muffin, English, with fruit other than raisins",47.63,9.31,1.8
Melba toast,76.6,12.1,3.2
Anisette toast,74.2,10.1,9.7
Pannetone,53.74,8.66,8.24
Zwieback toast,74.2,10.1,9.7
"Bread, whole grain white",43.91,10.66,2.15
"Bread, whole grain white, toasted",48.25,11.71,2.36
"Bagel, whole grain white",48.89,10.2,1.53
"Bread, whole wheat",43.1,12.3,3.55
"Bread, whole wheat, toasted",47.36,13.52,3.9
"Bread, whole wheat, made from home recipe or purchased at bakery",47.44,9.22,4.07
"Bread, whole wheat, made from home recipe or purchased at bakery, toasted",52.13,10.14,4.48
"Bread, chappatti or roti, wheat",46.13,7.85,9.2
"Bread, puri, wheat",39.17,6.2,24.75
"Bread, paratha, wheat",45.35,6.36,13.2
"Bread, whole wheat, with raisins",56.72,7.73,3.98
"Bread, whole wheat, with raisins, toasted",62.33,8.5,4.38
"Bread, sprouted wheat",33.88,13.16,0.0
"Bread, sprouted wheat, toasted",37.23,14.46,0.0
"Bread, wheat or cracked wheat",47.54,10.67,4.53
"Bread, wheat or cracked wheat, toasted",52.24,11.72,4.98
"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery",49.23,8.94,3.64
"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery, toasted",54.1,9.82,4.0
"Bread, wheat or cracked wheat, with raisins",57.76,7.57,3.64
"Bread, wheat or cracked wheat, with raisins, toasted",63.48,8.32,4.0
"Bread, wheat or cracked wheat, reduced calorie and/or high fiber",44.91,8.91,2.55
"Bread, wheat or cracked wheat, reduced calorie and/or high fiber, toasted",49.35,9.79,2.8
"Bread, French or Vienna, whole wheat",49.1,8.33,1.04
"Bread, French or Vienna, whole wheat, toasted",53.96,9.15,1.14
"Bread, pita, whole wheat",55.89,9.8,1.71
"Bread, pita, whole wheat, toasted",61.42,10.77,1.88
"Bread, pita, wheat or cracked wheat",55.89,9.8,1.71
"Bread, pita, wheat or cracked wheat, toasted",61.42,10.77,1.88
"Bagel, wheat",48.89,10.2,1.53
"Bagel, whole wheat",48.89,10.2,1.53
"Bagel, wheat, with raisins",51.93,9.51,1.4
"Bagel, whole wheat, with raisins",51.93,9.51,1.4
"Bagel, wheat, with fruit and nuts",50.83,9.54,2.68
"Bagel, wheat bran",48.89,10.2,1.53
"Muffin, English, wheat bran",44.8,8.7,2.0
"Muffin, English, wheat bran, with raisins",48.25,8.16,1.82
"Muffin, English, wheat or cracked wheat",44.8,8.7,2.0
"Muffin, English, whole wheat",44.8,8.7,2.0
"Muffin, English, wheat or cracked wheat, with raisins",47.94,8.21,1.84
"Muffin, English, whole wheat, with raisins",47.94,8.21,1.84
"Muffin, English, whole grain white",44.8,8.7,2.0
"Breadsticks, hard, whole wheat",68.14,13.23,10.88
"Roll, wheat or cracked wheat",46.0,8.6,6.3
"Roll, wheat or cracked wheat, hot dog bun",47.31,11.69,3.61
"Roll, wheat or cracked wheat, hamburger bun",47.31,11.69,3.61
"Roll, whole wheat",46.0,8.6,6.3
"Roll, whole wheat, hot dog bun",44.93,12.38,4.38
"Roll, whole wheat, hamburger bun",44.93,12.38,4.38
"Roll, whole grain white",46.5,9.3,3.49
"Roll, whole grain white, hot dog bun",46.5,9.3,3.49
"Roll, whole grain white, hamburger bun",46.5,9.3,3.49
"Bread, rye",48.3,8.5,3.3
"Bread, rye, toasted",53.08,9.34,3.63
"Bread, marble rye and pumpernickel",48.3,8.5,3.3
"Bread, marble rye and pumpernickel, toasted",53.08,9.34,3.63
"Muffin, English, rye",48.3,8.5,3.3
"Bread, pumpernickel",47.5,8.7,3.1
"Bread, pumpernickel, toasted",52.2,9.56,3.41
"Bagel, pumpernickel",48.89,10.2,1.53
"Muffin, English, pumpernickel",47.5,8.7,3.1
"Bread, black",47.5,8.7,3.1
"Bread, black, toasted",52.2,9.56,3.41
"Roll, rye",48.3,8.5,3.3
"Roll, pumpernickel",51.87,10.8,2.8
"Bread, oatmeal",48.5,8.4,4.4
"Bread, oatmeal, toasted",53.3,9.23,4.84
"Bread, oat bran",53.89,9.33,4.89
"Bread, oat bran, toasted",53.3,9.23,4.84
"Bagel, oat bran",48.89,10.2,1.53
"Roll, oatmeal",48.5,8.4,4.4
"Muffin, English, oat bran",48.5,8.4,4.4
"Muffin, English, oat bran, with raisins",51.58,7.89,3.98
"Bread, multigrain, toasted",47.63,14.68,4.65
"Bread, multigrain",43.34,13.36,4.23
"Bread, multigrain, with raisins",46.94,12.35,3.83
"Bread, multigrain, with raisins, toasted",51.58,13.58,4.21
"Bread, multigrain, reduced calorie and/or high fiber",44.91,8.91,2.55
"Bread, multigrain, reduced calorie and/or high fiber, toasted",49.35,9.79,2.8
"Roll, multigrain",44.6,9.6,6.0
"Roll, multigrain, hot dog bun",44.6,9.6,6.0
"Roll, multigrain, hamburger bun",44.6,9.6,6.0
"Bagel, multigrain",48.89,10.2,1.53
"Bagel, multigrain, with raisins",51.93,9.51,1.4
"Muffin, English, multigrain",44.8,8.7,2.0
"Bread, barley",47.54,10.67,4.53
"Bread, barley, toasted",52.24,11.72,4.98
"Bread, soy",42.01,15.42,3.44
"Bread, soy, toasted",46.16,16.94,3.78
"Bread, sunflower meal",47.83,9.8,8.2
"Bread, sunflower meal, toasted",52.56,10.77,9.01
"Bread, rice",45.78,4.31,5.24
"Bread, rice, toasted",50.31,4.74,5.76
"Injera, Ethiopian bread",18.29,3.48,0.84
"Bread, gluten free",45.78,4.31,5.24
"Bread, gluten free, toasted",50.31,4.74,5.76
"Breadsticks, hard, gluten free",66.3,11.25,15.84
"Roll, gluten free",50.47,3.34,2.65
"Biscuit, NFS",42.82,7.08,18.92
Crumpet,44.17,8.87,1.69
"Biscuit, from refrigerated dough",49.05,6.79,11.22
"Biscuit, from fast food / restaurant",42.82,7.08,18.92
"Biscuit, home recipe",44.4,6.74,15.46
"Biscuit, wheat",43.9,7.5,18.19
"Biscuit, cheese",38.78,8.7,20.43
Biscuit with fruit,46.47,6.7,17.05
Scone,47.63,6.43,17.84
"Scone, with fruit",50.8,6.12,16.08
"Cornbread, prepared from mix",54.46,6.59,9.58
"Cornbread, made from home recipe",42.65,6.44,9.6
Cornbread stuffing,21.9,2.9,8.8
"Cornbread muffin, stick, round",51.0,5.9,8.4
"Cornbread muffin, stick, round, made from home recipe",45.7,6.9,10.28
"Corn flour patty or tart, fried",41.18,3.98,4.64
"Corn pone, baked",39.68,3.5,4.31
"Corn pone, fried",37.79,3.34,9.78
"Gordita/sope shell, plain, no filling",36.65,4.18,16.19
Hush puppy,40.21,6.16,13.25
Johnnycake,43.77,7.89,7.38
Spoonbread,18.54,6.72,6.83
"Tortilla, NFS",47.01,6.95,5.42
"Tortilla, corn",44.64,5.7,2.85
"Tortilla, flour",49.38,8.2,7.99
"Tortilla, whole wheat",45.89,9.76,9.76
"Taco shell, corn",63.49,6.41,21.79
"Taco shell, flour",53.2,8.83,29.07
Arepa Dominicana,30.45,5.68,13.94
"Muffin, NFS",53.0,4.49,16.07
"Muffin, fruit",53.0,4.49,16.07
"Muffin, fruit, low fat",50.05,4.23,4.22
"Muffin, chocolate chip",55.12,5.64,18.82
"Muffin, chocolate",50.63,6.39,18.5
"Muffin, whole wheat",44.24,7.2,18.25
"Muffin, wheat",45.54,6.61,17.78
"Muffin, whole grain",45.54,6.61,17.78
"Muffin, wheat bran",38.98,6.24,5.82
"Muffin, bran with fruit, lowfat",40.21,5.34,1.49
"Muffin, oatmeal",43.74,6.33,18.69
"Muffin, oat bran",48.3,7.0,7.4
"Muffin, plain",51.69,5.78,15.95
"Muffin, cheese",30.13,9.54,22.7
"Muffin, pumpkin",42.95,4.85,12.72
"Muffin, zucchini",42.38,4.93,12.94
"Muffin, carrot",44.0,4.88,12.98
Popover,34.83,10.88,8.69
"Bread, Boston Brown",47.54,10.67,4.53
"Bread, nut",49.55,6.49,19.55
"Bread, pumpkin",42.95,4.85,12.72
"Bread, fruit",47.22,5.96,17.61
"Bread, zucchini",42.38,4.93,12.94
"Bread, Irish soda",50.72,6.26,8.66
"Cake batter, raw, chocolate",40.46,4.34,13.66
"Cake batter, raw, not chocolate",41.35,3.89,11.33
"Cake or cupcake, NS as to type",52.84,3.48,20.05
"Cake, angel food, without icing or filling",58.7,6.1,0.3
"Cake, angel food, with icing or filling",65.34,4.1,6.91
"Cake, angel food, with fruit and icing or filling",42.5,4.35,3.03
"Cake or cupcake, applesauce, without icing or filling",44.55,4.91,24.68
"Cake or cupcake, applesauce, with icing or filling",46.37,3.86,26.07
"Cake or cupcake, banana, without icing or filling",46.79,5.31,25.51
"Cake or cupcake, banana, with icing or filling",47.84,4.09,26.63
"Cake or cupcake, Black Forest",38.0,2.4,12.5
"Cake, Boston cream pie",42.9,2.4,8.5
"Cake or cupcake, carrot, without icing or filling",43.41,5.29,25.62
"Cake or cupcake, carrot, with icing or filling",45.74,4.07,26.71
"Cake, carrot, diet",74.3,3.71,11.14
"Cake or cupcake, coconut, with icing or filling",63.2,4.4,10.3
Cheesecake,25.5,5.5,22.5
Cheesecake with fruit,18.62,3.63,13.92
"Cheesecake, chocolate",32.55,5.97,25.82
"Cake or cupcake, chocolate, devil's food or fudge, with icing or filling",52.84,3.48,20.05
"Cake or cupcake, chocolate, devil's food or fudge, without icing or filling",45.46,4.88,15.35
"Cake or cupcake, German chocolate, with icing or filling",51.49,3.85,21.92
"Cake, chocolate, with icing, diet",69.37,3.71,13.0
"Cake, cream, without icing or topping",45.84,4.86,18.93
"Snack cake, chocolate, with icing or filling",60.31,3.63,15.93
"Snack cake, chocolate, with icing or filling, reduced fat and calories",69.37,3.71,13.0
"Snack cake, not chocolate, with icing or filling",64.03,3.47,11.54
"Snack cake, not chocolate, with icing or filling, reduced fat and calories",74.3,3.71,11.14
"Cake, Dobos Torte",55.51,3.58,18.01
"Cake, fruit cake, light or dark, holiday type cake",61.6,2.9,9.1
"Cake or cupcake, gingerbread",50.68,4.02,10.15
Ice cream cake,39.9,3.24,14.46
"Cake, jelly roll",56.21,4.01,14.1
"Cake or cupcake, lemon, without icing or filling",45.37,4.54,16.29
"Cake or cupcake, lemon, with icing or filling",54.97,3.43,17.49
"Cake or cupcake, marble, without icing or filling",45.42,4.71,15.82
"Cake or cupcake, marble, with icing or filling",54.52,3.24,18.98
"Cake or cupcake, nut, without icing or filling",46.01,6.53,24.9
"Cake or cupcake, nut, with icing or filling",53.7,4.15,20.32
"Cake or cupcake, oatmeal",63.22,3.25,12.66
"Cake or cupcake, peanut butter",53.64,5.17,21.18
"Cake, pound, without icing or filling",53.64,5.0,13.96
"Cake, pound, with icing or filling",62.78,3.59,15.82
"Cake, pound, chocolate",61.38,5.42,18.29
"Cake, pound, Puerto Rican style",45.16,6.96,29.1
"Cake, pound, reduced fat, cholesterol free",61.0,5.4,1.2
"Cake or cupcake, pumpkin, without icing or filling",40.82,5.07,24.0
"Cake or cupcake, pumpkin, with icing or filling",43.92,3.98,25.59
"Cake or cupcake, raisin-nut",52.19,6.11,21.29
"Cake, Ravani",48.86,3.83,7.56
"Cake, rice flour, without icing or filling",44.21,4.46,8.0
"Cake, Quezadilla, El Salvadorian style",56.38,9.42,11.58
"Cake or cupcake, spice, without icing or filling",44.55,4.91,24.68
"Cake or cupcake, spice, with icing or filling",46.37,3.86,26.07
"Cake, sponge, without icing or filling",61.0,5.4,2.7
"Cake, sponge, with icing or filling",68.29,3.69,8.21
"Cake, sponge, chocolate",66.45,4.12,8.75
"Rum cake, without icing",53.64,5.0,13.96
"Cake, torte",37.07,3.67,13.72
"Cake, tres leche",41.86,6.35,8.73
"Cake, pineapple, upside down",43.55,3.51,16.52
"Cake or cupcake, white, with icing or filling",56.2,2.99,17.91
"Cake or cupcake, white, without icing or filling",49.55,3.79,13.15
"Cake or cupcake, yellow, with icing or filling",55.36,3.16,17.75
"Cake or cupcake, yellow, without icing or filling",45.37,4.54,16.29
"Cake, shortcake, biscuit type, with whipped cream and fruit",27.86,4.04,10.35
"Cake, shortcake, biscuit type, with fruit",30.98,4.26,8.64
"Cake, shortcake, sponge type, with whipped cream and fruit",47.31,4.21,4.25
"Cake, shortcake, sponge type, with fruit",52.64,4.44,2.22
"Cake, shortcake, with whipped topping and fruit, diet",40.5,3.62,4.75
"Cake or cupcake, zucchini",45.98,4.24,27.5
"Cookie, batter or dough, raw",54.13,4.8,22.24
"Cookie, NFS",65.36,5.1,24.72
"Cookie, almond",63.78,5.37,26.22
"Cookie, applesauce",68.7,6.2,18.1
"Cookie, biscotti",66.36,7.38,8.09
"Cookie, brownie, NS as to icing",63.9,4.8,16.3
"Cookie, brownie, without icing",63.9,4.8,16.3
"Cookie, brownie, with icing or filling",63.55,2.94,16.95
"Cookie, brownie, reduced fat, NS as to icing",61.58,2.77,9.68
"Cookie, brownie, fat free, NS as to icing",61.58,2.77,9.68
"Cookie, butterscotch, brownie",63.9,4.8,16.3
"Cookie, bar, with chocolate",65.36,5.1,24.72
"Cookie, chocolate chip",65.36,5.1,24.72
"Cookie, chocolate chip, made from home recipe or purchased at a bakery",59.38,5.81,28.12
"Cookie, chocolate chip, reduced fat",67.49,5.97,17.91
"Cookie, chocolate chip sandwich",63.52,2.94,17.65
"Cookie, chocolate, made with rice cereal",63.26,3.23,19.35
"Cookie, chocolate, made with oatmeal and coconut, no bake",68.7,6.2,18.1
"Cookie, chocolate or fudge",72.7,6.6,14.2
"Cookie, chocolate or fudge, reduced fat",67.49,5.97,17.91
"Cookie, chocolate, with chocolate filling or coating, fat free",67.49,5.97,17.91
"Cookie, marshmallow, chocolate-covered",67.7,4.0,16.9
"Cookie, marshmallow pie, chocolate covered",67.7,4.0,16.9
"Cookie, chocolate, with icing or coating",67.87,4.5,24.2
"Cookie, sugar wafer, chocolate-covered",65.99,3.45,27.59
"Cookie, chocolate sandwich",71.0,5.21,19.14
"Cookie, chocolate sandwich, reduced fat",76.17,2.94,13.24
"Cookie, chocolate, sandwich, with extra filling",68.2,4.33,24.52
"Cookie, chocolate and vanilla sandwich",71.0,5.21,19.14
"Cookie, chocolate wafer",72.7,6.6,14.2
"Cookie, graham cracker with chocolate and marshmallow",68.97,6.36,18.57
"Cookie bar, with chocolate, nuts, and graham crackers",65.36,5.1,24.72
"Cookie, coconut",61.22,3.02,22.55
"Cookie, fruit-filled bar",70.9,3.7,7.3
"Cookie, fruit-filled bar, fat free",70.9,3.7,7.3
"Cookie, fig bar",70.9,3.7,7.3
"Cookie, fig bar, fat free",70.9,3.7,7.3
"Cookie, fortune",84.0,4.2,2.7
"Cookie, cone shell, ice cream type, wafer or cake",79.0,8.1,6.9
"Cookie, gingersnaps",76.9,5.6,9.8
"Cookie, granola",66.7,9.8,17.6
"Cookie, ladyfinger",59.7,10.6,9.1
"Cookie, lemon bar",62.35,5.01,18.73
"Cookie, macaroon",61.22,3.02,22.55
"Cookie, marshmallow, with coconut",67.7,4.0,16.9
"Cookie, marshmallow, with rice cereal, no bake",80.5,3.4,9.0
"Cookie, marshmallow, with rice cereal and chocolate chips",63.26,4.55,18.18
"Cookie, marshmallow and peanut butter, with oat cereal, no bake",80.5,3.4,9.0
"Cookie, meringue",80.44,5.75,0.34
"Cookie, molasses",73.8,5.6,12.8
"Cookie, Lebkuchen",73.8,5.6,12.8
"Cookie, multigrain, high fiber",66.7,9.8,17.6
"Cookie, oatmeal",68.7,6.2,18.1
"Cookie, oatmeal, with raisins",68.7,6.2,18.1
"Cookie, oatmeal, reduced fat, NS as to raisins",64.62,4.02,10.04
"Cookie, oatmeal sandwich, with creme filling",55.62,2.61,18.29
"Cookie, oatmeal, with chocolate chips",67.56,5.72,20.92
"Cookie, oatmeal sandwich, with peanut butter and jelly filling",55.62,2.61,18.29
"Cookie, oatmeal, with chocolate and peanut butter, no bake",68.7,6.2,18.1
"Cookie, peanut butter",58.15,8.92,23.82
"Cookie, peanut butter, with chocolate",59.51,7.8,25.29
"Cookie, peanut butter with rice cereal, no bake",80.5,3.4,9.0
"Cookie, peanut butter sandwich",65.6,8.8,21.1
"Cookie, with peanut butter filling, chocolate-coated",52.9,8.1,35.3
"Cookie, Pfeffernusse",63.78,5.37,26.22
"Cookie, Pizzelle",79.0,8.1,6.9
"Cookie, pumpkin",68.7,6.2,18.1
"Cookie, raisin",68.0,4.1,13.6
"Cookie, raisin sandwich, cream-filled",55.62,2.61,18.29
"Cookie, rum ball, no bake",63.78,5.37,26.22
"Cookie, sandwich-type, not chocolate or vanilla",72.1,4.5,20.0
"Cookie, shortbread",63.78,5.37,26.22
"Cookie, shortbread, reduced fat",75.99,5.37,14.0
"Cookie, shortbread, with icing or filling",62.6,5.05,28.31
Pocky,51.08,10.0,22.5
"Cookie, animal",74.1,6.9,13.8
"Cookie, animal, with frosting or icing",70.09,3.0,24.1
"Cookie, butter or sugar",67.34,5.35,19.55
Marie biscuit,70.54,7.05,10.58
"Cookie, butter or sugar, with fruit and/or nuts",65.26,6.58,20.71
"Cookie, sugar wafer",70.64,3.84,23.24
"Cookie, toffee bar",65.36,5.1,24.72
"Cookie, vanilla sandwich",72.1,4.5,20.0
"Cookie, vanilla sandwich, extra filling",68.2,4.33,24.52
"Cookie, vanilla sandwich, reduced fat",78.16,4.17,10.42
"Cookie, butter or sugar, with chocolate icing or filling",68.83,4.1,23.5
"Cookie, butter or sugar, with icing or filling other than chocolate",72.7,3.38,14.93
"Cookie, tea, Japanese",84.0,4.2,2.7
"Cookie, vanilla wafer",72.6,4.9,16.41
"Cookie, vanilla wafer, reduced fat",73.6,5.0,15.2
"Cookie, vanilla with caramel, coconut, and chocolate coating",64.1,3.5,25.8
"Cookie, rugelach",70.9,3.7,7.3
"Cookie, chocolate chip, sugar free",73.4,3.9,16.8
"Cookie, oatmeal, sugar free",69.9,4.8,18.0
"Cookie, sandwich, sugar free",68.0,4.5,22.1
"Cookie, sugar or plain, sugar free",50.52,10.34,31.03
"Cookie, sugar wafer, sugar free",66.26,3.57,28.57
"Cookie, peanut butter, sugar free",50.52,10.34,31.03
"Cookie, gluten free",76.03,2.19,17.89
"Cookies, Puerto Rican style",67.37,5.99,22.91
"Pie, NFS",34.0,1.9,11.0
"Pie, individual size or tart, NFS",42.6,3.0,16.1
"Pie, fried, NFS",42.6,3.0,16.1
"Pie, apple, two crust",34.0,1.9,11.0
"Pie, apple, individual size or tart",42.6,3.0,16.1
"Pie, apple, fried pie",42.6,3.0,16.1
"Pie, apple, one crust",38.94,1.8,9.33
"Pie, apricot, two crust",39.07,3.16,12.57
"Pie, apricot, individual size or tart",42.6,3.0,16.1
"Pie, apricot, fried pie",42.6,3.0,16.1
"Pie, blackberry, two crust",35.21,2.81,12.36
"Pie, blackberry, individual size or tart",36.44,3.11,14.0
"Pie, berry, not blackberry, blueberry, boysenberry, huckleberry, raspberry, or strawberry; two crust",39.56,2.6,13.83
"Pie, berry, not blackberry, blueberry, boysenberry, huckleberry, raspberry, or strawberry; one crust",38.66,1.76,10.37
"Pie, berry, not blackberry, blueberry, boysenberry, huckleberry, raspberry, or strawberry, individual size or tart",40.61,2.96,15.56
"Pie, blueberry, two crust",34.9,1.8,10.0
"Pie, blueberry, individual size or tart",38.67,2.81,13.92
"Pie, cherry, two crust",39.8,2.0,11.0
"Pie, cherry, one crust",36.66,2.08,8.62
"Pie, cherry, individual size or tart",39.8,2.0,11.0
"Pie, cherry, fried pie",42.6,3.0,16.1
"Pie, lemon, not cream or meringue",57.07,5.06,15.61
"Pie, lemon, not cream or meringue, individual size or tart",56.7,5.25,16.85
"Pie, lemon, fried pie",42.6,3.0,16.1
"Pie, mince, two crust",48.0,2.6,10.8
"Pie, peach, two crust",32.9,1.9,10.0
"Pie, peach, one crust",38.8,2.22,8.34
"Pie, peach, individual size or tart",39.28,3.21,14.25
"Pie, peach, fried pie",42.6,3.0,16.1
"Pie, pear, two crust",37.94,2.47,12.16
"Pie, pear, individual size or tart",39.02,2.82,14.12
"Pie, pineapple, two crust",34.73,2.56,12.1
"Pie, pineapple, individual size or tart",42.6,3.0,16.1
"Pie, raisin, two crust",36.92,2.66,10.96
"Pie, raisin, individual size or tart",40.44,3.16,13.53
"Pie, raspberry, one crust",35.42,2.06,8.81
"Pie, raspberry, two crust",36.35,2.71,12.43
"Pie, rhubarb, two crust",36.53,3.39,15.41
"Pie, strawberry, one crust",34.55,2.29,9.63
"Pie, strawberry-rhubarb, two crust",35.5,3.17,14.36
"Pie, strawberry, individual size or tart",36.26,2.82,12.54
"Pie, apple-sour cream",29.87,1.85,9.28
"Pie, cherry, made with cream cheese and sour cream",39.66,3.13,13.09
"Pie, banana cream",32.9,4.4,13.6
"Pie, banana cream, individual size or tart",31.01,4.52,10.83
"Pie, buttermilk",51.48,4.14,18.25
"Pie, chess",53.34,5.31,20.11
"Pie, chocolate cream",38.44,4.15,22.41
"Pie, chocolate cream, individual size or tart",36.08,5.3,13.93
"Pie, coconut cream",37.3,2.1,16.6
"Pie, coconut cream, individual size or tart",25.37,5.45,11.39
"Pie, custard",20.8,5.5,11.6
"Pie, custard, individual size or tart",26.41,5.74,4.75
Mixed fruit tart filled with custard or cream cheese,20.7,3.54,8.72
Dessert pizza,32.31,1.87,7.56
"Pie, lemon cream",38.51,4.61,10.95
"Pie, lemon cream, individual size or tart",38.6,4.68,12.59
"Pie, peanut butter cream",34.04,7.73,14.61
"Pie, pineapple cream",28.9,3.77,7.68
"Pie, pumpkin",34.83,3.9,9.75
"Pie, pumpkin, individual size or tart",34.83,3.9,9.75
"Pie, sour cream, raisin",34.12,5.06,22.63
"Pie, squash",26.64,4.0,8.01
